"orgid","organization","co_sponsor","type","location_name","location_address","city","state","zip_code","frequency","day","times","year_round_or_dates","name","email","phone","website","registration_contact","description","eligibility_requirements","eligibility_requirement","no_photo_id_required","no_registration_required","restricted_access_only_members_of_these_communities","age_restrictions_for_children_or_families_of_children_only","age_restrictions_for_seniors_only","income_maximum_for_eligibility","delivery_available","prepared_meals","grocery_items","fresh_produce","accepts_snap","languages_spoken_other_than_english","other_services_provided_diapers","other_services_provided_baby_formula","other_services_provided_financial_assistance","other_services_provided_clothing","other_services_provided","metro","bus","AUTO_UNIQUE_ID_2021-09-27_fhernandez_UI_Food_resources","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType"
"56","ICNA Relief","NA","Food pantry","NA","2912 Woodlawn Trail","Arlington","Virginia","22306","Twice Monthly","Usually 1st & 3rd Thursday","2pm","Year-round","Akmal Hussain","akmal.hussain@icnarelief.org","Â 917-943-8361","NA","Same as main contact info.","NA","Open to all","0","1","0","0","0","0","0","0","0","1","0","0","NA","0","0","0","0","0","NOT ARLINGTON","NA",56,"USCGeocoder",78.1309,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1897.37311911583","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.7517600854928,-77.0822116194666,"Relaxed"
"57","Kenmore Wednesday Moms","NA","Food pantry","Harvey Hall","860 S Greenbrier St","Arlington","Virginia","22204","Monthly","Last Friday of the month","By appointment","Year-round","Janeth Valenzuela","janeth2b@hotmail.com","703-589-7428","NA","Same as main contact info.","Regular offerings include rice, beans, corn flour, and oil.","Call Janeth to get added to the list.","0","1","0","0","0","0","0","1","0","1","0","0","NA","0","0","0","0","0","NA","ART 41, 45; Metrobus 16A/C/E/G/H, 25B, 28A",57,"USCGeocoder",0,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","560.573633268476","ArealInterpolationGeometricCentroid","Parcel","95.3254437869822","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8780278374651,-77.1258932606845,"Relaxed"
"58","Little Free Pantry","NA","Food pantry","Central Library","1015 N. Quincy St","Arlington","Virginia","22201","NA","NA","NA","Year-round","NA","NA","NA","NA","NA","Container outside Central Library is stocked with shelf-stable foods. Take what you need.","None. Open to all","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","NA","ART 42, 51, 52, 72, 75; Metrobus 1A, 2A, 10B, 22A, 23A/B/T, 25B 38B",58,"USCGeocoder",187.5085,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","7421.09096496552","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8834339857814,-77.1072676421576,"Exact"
"59","LOMAX AME Zion Church","NA","Food pantry","LOMAX AME Zion Church","2704 24th Rd S","Arlington","Virginia","22206","By Appointment","By Appointment","By Appointment","Year-round","Gloria Camp","lomaxamezchurch@gmail.com","703-979-8408","https://www.lomaxchurchva.com/","N/A","Shelf stable food items.","Open to all","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","NA","ART 75, 84, 87/A/P; Metrobus 10B, 23A/B/T",59,"USCGeocoder",78.1308,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","7685.57692235697","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8479465336893,-77.0816397597613,"Exact"
"60","Our Lady Queen of Peace Catholic Church","NA","Food pantry","Our Lady Queen of Peace Catholic Church","2700 19th St S","Arlington","Virginia","22204","Weekly","Wednesday","8:30-11:30 AM","Year-round","Sally Diaz Wells","sdiazwells@olqpva.org","703-979-5580","https://www.ourladyqueenofpeace.org/food-pantry.html","N/A","Regular offerings include rice, beans, pasta, pasta sauce, mac & cheese. Alternating weeks also provides oil and eggs or corn flour (maseca) and tuna. Fresh produce provided when available. Also have Gabriel Program w/ services for pregnant/new parents an","Open to all","0","0","1","0","0","0","0","1","0","1","1","0","NA","1","0","1","1","1","NA","ART 77, 84; Metrobus 10B, 23A/B/T",60,"USCGeocoder",78.1318,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3420.86443941947","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8543583633029,-77.0828846662232,"Exact"
"61","Randolph Elementary School PTA","NA","Food pantry","Randolph Elementary School","1306 S Quincy St","Arlington","Virginia","22204","Once every 3 weeks","Friday","4 - 6 PM","July 9, July 30, August 20","Bethany Zecher Sutton","bethanyzechersutton@gmail.com","703-220-6087","https://randolphelementarypta.org/covid-19-food-pantry-donation/","Will need to tell name of Randolph student when picking up food.","Regular offerings include rice, beans, pasta, pasta sauce, tortillas, taco seasoning, canned vegetables or fruit, instant oatmeal, granola bars, canned tuna. Additional items, including fresh produce also provided and vary by week.","Child enrolled at Randolph ES","1","1","0","1","1","0","0","0","0","1","0","0","NA","0","0","0","0","0","NA","ART 41, 45, 72, 84; Metrobus 16A/C/E/G/H, 22A/B",61,"USCGeocoder",15.6265,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3487.4409421155","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8569638728626,-77.0979610929908,"Exact"
"62","Real Food For Kids","AHC","Prepared Meals","Gates of Ballston Apartments (AHC)","4108 4th St N","Arlington","Virginia","22204","Weekly","Tuesday","0.6875","Year-round","Mary Porter","mporter@realfoodforkids.org","NA","https://www.realfoodforkids.org/programs/chefs-feeding-families/","Seila Santiago: selia.santiago.org or 571-241-0478","Plant-based meals for the whole family made by restaurant chefs.","Open to AHC residents at this location. Contact AHC resident services to enroll.","1","1","0","1","0","0","0","1","1","0","0","0","NA","0","0","0","0","0","NA","ART 41, 42, 72; Metrobus 1A, 4B, 10B, 22A, 23B/T, 25B",62,"USCGeocoder",31.2479,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","7054.6279467491","LinearInterpolationAddressRange","StreetSegment","96.0059171597633","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8753775063216,-77.1074884573024,"Relaxed"
"63","Real Food For Kids","AHC","Prepared Meals","The Shelton (AHC)","3215 24th St S","Arlington","Virginia","22206","Weekly","Thursday","0.6875","Year-round","Mary Porter","mporter@realfoodforkids.org","NA","https://www.realfoodforkids.org/programs/chefs-feeding-families/","Edgar Awuney 703-203-4228","Plant-based meals for the whole family made by restaurant chefs.","Open to AHC residents at this location. Contact AHC resident services to enroll.","1","1","0","1","0","0","0","1","1","0","0","0","NA","0","0","0","0","0","NA","ART 75, 77, 84, 87; Metrobus 10B, 23A/B/T",63,"USCGeocoder",46.8821,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1601.30180216371","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8486356439544,-77.0841890669653,"Exact"
"64","Real Food For Kids","AHC","Prepared Meals","Virginia Gardens (AHC)","1718 S Taylor St","Arlington","Virginia","22204","Weekly","Thursday","0.708333333","Year-round","Mary Porter","mporter@realfoodforkids.org","NA","https://www.realfoodforkids.org/programs/chefs-feeding-families/","Melissa Mule 571-212-8003","Plant-based meals for the whole family made by restaurant chefs.","Open to AHC residents at this location. Contact AHC resident services to enroll.","1","1","0","1","0","0","0","1","1","0","0","0","NA","0","0","0","0","0","NA","ART 45, 72, 77; Metrobus 22A",64,"USCGeocoder",62.517,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","8730.94616254186","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8516824279627,-77.1003249168713,"Exact"
"65","Real Food For Kids","AHC","Prepared Meals","The Serrano (AHC)","5535 Columbia Pike","Arlington","Virginia","22204","Weekly","Tuesday","0.708333333","Year-round","Mary Porter","mporter@realfoodforkids.org","NA","https://www.realfoodforkids.org/programs/chefs-feeding-families/","Andrea Gaitan 703-470-4112","Plant-based meals for the whole family made by restaurant chefs.","Open to AHC residents at this location. Contact AHC resident services to enroll.","1","1","0","1","0","0","0","1","1","0","0","0","NA","0","0","0","0","0","NA","ART 41, 45, 75; Metrobus 16A/C/E/G/H, 25B, 28A",65,"USCGeocoder",46.8761,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","5695.45527245197","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8537520457503,-77.1193596848446,"Exact"
"66","Real Food For Kids","Virginia Hospital Center Pediatric Clinic","Prepared Meals","Virginia Hospital Center Pediatrics","3401 Columbia Pike, Suite 200","Arlington","Virginia","22204","Weekly","Tuesday","0.708333333","Year-round","Mary Porter","mporter@realfoodforkids.org","NA","https://www.realfoodforkids.org/programs/chefs-feeding-families/","Jenny Reyes: 703-717-7009 or 571-623-5449","Plant-based meals for the whole family made by restaurant chefs.","Open to VHC Pediatrics clients. Contact provider, Jenny Reyes or Diana Rodriguez to enroll.","1","1","0","1","1","0","0","1","1","0","0","0","NA","0","0","0","0","0","NA","ART 41, 45, 75; Metrobus 10B, 16A/C/E/G/H, 23A/B/T",66,"USCGeocoder",93.7485,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","5685.74829444289","ArealInterpolationGeometricCentroid","Parcel","99","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8617672863171,-77.0925466459007,"Relaxed"
"67","Real Food For Kids","Abingdon Elementary School PTA","Prepared Meals","Abingdon Elementary School","3035 South Abingdon St.","Arlington","Virginia","22206","Weekly","Wednesday","0.677083333","Year-round","Mary Porter","mporter@realfoodforkids.org","NA","https://www.realfoodforkids.org/programs/chefs-feeding-families/","Margarita Zwisler: margarita.zwisler2@apsva.us or 571-619-6632","Plant-based meals for the whole family made by restaurant chefs.","Open to Abingdon Elementary School families. Contact Abingdon school social worker, Margarita Zwisler, to sign up.","1","1","0","1","1","0","0","1","1","0","0","0","NA","0","0","0","0","0","NA","ART 72, 77; Metrobus 7A/F/Y, 22A",67,"USCGeocoder",15.6237,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","43251.6776149273","ArealInterpolationGeometricCentroid","Parcel","99","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8396522355781,-77.0962189730074,"Relaxed"
"68","Real Food For Kids","Abingdon Elementary School PTA","Meal Kits","Abingdon Elementary School","3035 South Abingdon St.","Arlington","Virginia","22206","Weekly","Wednesday","0.677083333","Year-round","Mary Porter","mporter@realfoodforkids.org","NA","https://www.realfoodforkids.org/programs/chefs-feeding-families/","Margarita Zwisler: margarita.zwisler2@apsva.us or 571-619-6632","Meal kits with fresh produce and recipes that are enough to make 16 meals","Open to Abingdon Elementary School families. Contact Abingdon school social worker, Margarita Zwisler, to sign up.","1","1","0","1","1","0","0","1","0","0","0","0","NA","0","0","0","0","0","NA","NA",68,"USCGeocoder",15.6258,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","43251.6776149273","ArealInterpolationGeometricCentroid","Parcel","99","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8396522355781,-77.0962189730074,"Relaxed"
"69","Real Food For Kids","Carlin Springs Elementary Schools","Meal Kits","Carlin Springs Elementary Schools","5995 5th Rd S","Arlington","Virginia","22204","Bi-weekly","Wednesday","0.708333333","Year-round","Mary Porter","mporter@realfoodforkids.org","NA","https://www.realfoodforkids.org/programs/chefs-feeding-families/","Carol Sabatino: carol.sabatino@apsva.us or 703-228-8409","Meal kits with fresh produce and recipes that are enough to make 16 meals","Open to CSES famiiles only. Contact Carol Sabatino for more information","1","1","0","1","1","0","0","1","0","0","0","0","NA","0","0","0","0","0","NA","NA",69,"USCGeocoder",93.7587,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1743.46028563345","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8618186817342,-77.131784001211,"Exact"
"70","Real Food For Kids","Colonial Village Apartments","Prepared Meals","Colonial Village Apartments","48 N. 18th Street","Arlington","Virginia","22201","Weekly","Tuesday","0.625","Year-round","Mary Porter","mporter@realfoodforkids.org","NA","https://www.realfoodforkids.org/programs/chefs-feeding-families/","Abyy Gurara agurara@whdc.org or 571-253-3399","Plant-based meals for the whole family made by restaurant chefs.","Open to Colonial Village families only. Contact Abby Gurara for more information","1","1","0","1","1","0","0","1","1","0","0","0","NA","0","0","0","0","0","NA","NA",70,"USCGeocoder",2110.9328,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","6058556.55068326","ArealInterpolationGeometricCentroid","USPSZip","60","FeatureClassBased","ReturnAll","","USPSZipAreaCentroid","","","1",38.887343,-77.098842,"Relaxed;Soundex"
"71","Rosslyn Farmer's Market","FreshFarm","Discount groceries","Central Place Plaza","1800 N. Lynn St","Arlington","Virginia","22209","Weekly","Wednesday","3 - 7 PM","May 5 - Oct. 27","Kim Haun","Khaun@arlingtonva.us","703-228-7872","https://www.freshfarm.org/markets/rosslyn","N/A","All FRESHFARM markets accept SNAP/EBT, WIC and Senior FMNP checks. FRESH Match provides a dollar-for-dollar match on all federal benefits spent at market.","NA","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","Rosslyn","ART 43, 45, 55; Metrobus 4B, 5A, 38B",71,"USCGeocoder",31.2495,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1189.77556416392","ArealInterpolationGeometricCentroid","Parcel","95.3254437869822","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8566262235736,-77.0672125379218,"Relaxed"
"72","SHARE Food Network","NA","Discount groceries","Macedonia Baptist Church","3412 South 22nd St.","Arlington","Virginia","22204","Monthly","4th Saturday of the month","0.333333333","Year-round","Darlene F. Gilbert","darlenefg1@yahoo.com","703-371-7356","https://www.catholiccharitiesdc.org/share/","Same as main contact info.","MonthlyÂ value packagesÂ cost $22 and include $40-$45 worth of basic and healthy groceries; always four to six pounds of frozen proteins and eight to 12 poundsÂ of fresh fruits and vegetables. Additional specials are also available. SNAP can be used to pa","Open to all. Email or call Darlene Gilbert to sign up.","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","NA","ART 77, 84, 87; Metrobus 10B, 23A/B/T",72,"USCGeocoder",62.5001,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1881.86250173114","LinearInterpolationAddressRange","StreetSegment","99.3491124260355","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8498835468518,-77.0853073670335,"Relaxed"
"73","SHARE Food Network","NA","Discount groceries","LOMAX AME Zion Church","2704 24th Rd S","Arlington","Virginia","22206","Monthly","4th Saturday of the month","11:15 AM - 12:30 PM","Year-round","Gloria Camp","lomaxamezchurch@gmail.com","703-979-8408","https://www.catholiccharitiesdc.org/share/","Same as main contact info.","MonthlyÂ value packagesÂ cost $22 and include $40-$45 worth of basic and healthy groceries; always four to six pounds of frozen proteins and eight to 12 poundsÂ of fresh fruits and vegetables. Additional specials are also available. SNAP can be used to pa","Open to all.","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","NA","ART 75, 84, 87/A/P; Metrobus 10B, 23A/B/T",73,"USCGeocoder",31.255,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","7685.57692235697","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8479465336893,-77.0816397597613,"Exact"
"74","Social 60+ CafÃ©","Department of Parks & Rec","Prepared meals","Langston Brown Community Center","2121 N. Culpeper Street","Arlington","Virginia","22207","Daily","Tuesday - Friday","NA","Year-round","Nick England","osap@arlingtonva.us","703-228-6300","https://parks.arlingtonva.us/programs/social-60-cafe/","Register in person or call 703-228-6300","Designed to help older individuals remain independent and involved in their community by providing meals, transportation and related nutrition services.","Arlington County residents age 60 years or older and their spouses, regardless of income.","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","NA","ART 51, 52, 55, 72; Metrobus 23A/T",74,"USCGeocoder",62.4995,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3519.48252980731","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8955871753621,-77.1265677279378,"Exact"
"75","St. Anthony of Padua Catholic Church","NA","Food pantry","St. Anthony of Padua Catholic Church","3305 Glen Carlyn Rd","Arlington","Virginia","22041","Twice weekly","Monday & Wednesday","10 AM - 2 PM","Year-round","Ubaldo Cisneros","ucisneros@stanthonyparish.org","703-820-7111","https://stanthonyofpaduacommunity.com/food-pantry/","In person at first visit","Fresh veggies & fruits, meat or fish, canned food, cereals, pastries, bread, rice and beans. Monthly.","NA","0","1","0","0","0","0","0","0","0","1","1","0","NA","1","0","0","0","0","NA","Metrobus 16 C/E, 28A",75,"USCGeocoder",15.6247,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","20225.2033058219","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8566580527098,-77.1386810284628,"Relaxed"
"76","St. Charles Borromeo Catholic Church","NA","Food pantry","St. Charles Borromeo Catholic Church","3304 Washington Blvd","Arlington","Virginia","22201","Weekly","Tuesday","10 AM - 12 PM","Year-round","Anne Marie Kaufmann","akaufmann@stcharleschurch.org","703-527-5500","http://www.stcharleschurch.org/outreach#food-pantry","N/A","Shelf-stable food items.","NA","0","1","1","0","0","0","0","1","0","1","0","0","NA","0","0","0","0","0","Clarendon","ART 41, 42, 77; Metrobus 38B",76,"USCGeocoder",31.2534,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","7683.64974348457","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8855572234805,-77.099297276603,"Exact"
"77","St. George's Episcopal Church","NA","Food pantry","St. George's Episcopal Church","915 N. Oakland St","Arlington","Virginia","22203","Twice weekly","Monday & Thursday","12 - 1 PM","Year-round","NA","NA","703-525-8286","https://www.saintgeorgeschurch.org/foodpantry","N/A","Shelf-stable food items. Toiletries available based on availability.","NA","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","Virginia Square","ART 41, 42, 51, 75; Metrobus 1A, 2A, 10B, 22A, 23A/B/T, 25B , 38B",77,"USCGeocoder",47.1618,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2252.57245247159","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8820232006318,-77.1044447136542,"Exact"
